Type,Temp,Plate ID,Hour,neg_distance,neg_edge,pos_distance,pos_edge,Dye_distance,dye_edge
Control,25,C,68,7.607,No,9.213,No,0,No
Test,25,B,0,0,No,0,No,0,No
Control,25,A,0,0,No,0,No,0,No
Control,25,E,68,8.647,No,7.341,No,0,No
Test,25,C,0,0,No,0,No,0,No
Test,25,B,42,5.539,No,5.118,No,25.986,No
Control,25,E,18,1.42,No,1.601,No,0,No
Test,25,A,18,1.603,No,1.618,No,12.664,No
Control,25,E,46,5.021,No,6.118,No,0,No
Test,25,E,42,3.115,No,4.638,No,16.488,No
Control,25,A,68,8.615,No,9.363,No,0,No
Control,25,B,46,5.871,No,5.572,No,0,No
Test,25,A,68,8.89,No,8.523,No,27.797,No
Test,25,E,72,5.136,No,6.828,No,24.305,No
Control,25,D,18,1.28,No,1.446,No,0,No
Control,25,D,46,6.142,No,6.804,No,0,No
Test,25,D,93,9.074,No,8.191,No,36.35,max
Control,25,B,72,9.879,No,9.758,No,0,No
Test,25,A(visual),46,4.441,No,5.427,No,28.334,No
Test,25,A(visual),42,3.534,No,4.34,No,28.117,No
Test,25,A(visual),68,6.107,No,6.882,No,36.35,max
Test,25,A(visual),93,6.927,No,8.294,No,36.35,max
Test,25,A(visual),0,0,No,0,No,0,No
Test,25,A(visual),23,2.607,No,2.986,No,23.459,No
Test,25,A(visual),72,6.874,No,8.213,No,36.35,max
Test,25,A(visual),18,1.756,No,1.938,No,22.203,No
Test,25,E,46,3.508,No,4.663,No,19.175,No
Test,25,D,18,1.124,No,0.927,No,11.633,No
Test,25,D,46,4.844,No,4.648,No,21.991,No
Control,25,C,42,4.143,No,5.254,No,0,No
Control,25,D,23,1.845,No,2.178,No,0,No
Control,25,A,46,5.467,No,5.675,No,0,No
Control,25,A,42,5.428,No,5.449,No,0,No
Control,25,D,0,0,No,0,No,0,No
Test,25,C,46,4.369,No,5.661,No,21.541,No
Control,25,B,93,10.062,No,10.229,No,0,No
Test,25,D,68,8.092,No,7.018,No,23.919,No
Control,25,C,0,0,No,0,No,0,No
Test,25,C,68,5.726,No,7.863,No,26.704,No
Control,25,B,18,0.967,No,0.665,No,0,No
Test,25,C,42,4.322,No,5,No,21.372,No
Test,25,E,18,1.553,No,2.162,No,9.57,No
Test,25,D,23,1.595,No,1.352,No,13.372,No
Control,25,B,68,8.855,No,7.771,No,0,No
Test,25,D,72,8.158,No,7.424,No,23.982,No
Test,25,A,46,5.252,No,5.705,No,21.002,No
Control,25,E,93,10.508,No,9.481,No,0,No
Test,25,B,18,1.09,No,0.893,No,21.902,No
Control,25,E,0,0,No,0,No,0,No
Test,25,C,93,8.131,No,10.254,No,36.35,max
Control,25,C,93,8.05,No,9.588,No,0,No
Test,25,E,93,11.069,No,10.162,No,36.35,max
Test,25,B,23,1.902,No,1.784,No,22,No
Control,25,A,72,8.72,No,10.483,No,0,No
Control,25,C,46,5.421,No,5.36,No,0,No
Test,25,B,68,9.637,No,8.975,No,36.35,max
Test,25,A,93,12.46,No,9.481,No,36.35,max
Test,25,A,23,3.63,No,2.435,No,14.461,No
Control,25,E,72,9.064,No,8.731,No,0,No
Test,25,E,23,2.106,No,2.166,No,12.779,No
Test,25,B,93,9.845,No,9.387,No,36.35,max
Control,25,C,23,1.988,No,2.334,No,0,No
Control,25,C,72,7.732,No,9.236,No,0,No
Test,25,C,72,7.857,No,7.947,No,36.35,No
Control,25,D,93,12.05,No,15.709,max,0,No
Test,25,E,0,0,No,0,No,0,No
Test,25,C,18,1.078,No,1.183,No,11.604,No
Test,25,A,42,4.945,No,4.659,No,20.92,No
Control,25,B,23,1.578,No,1.413,No,0,No
Control,25,D,72,10.707,No,12.198,No,0,No
Test,25,A,0,0,No,0,No,0,No
Test,25,E,68,4.995,No,5.794,No,23.472,No
Control,25,D,68,10.156,No,11.402,No,0,No
Control,25,A,23,1.774,No,2.425,No,0,No
Test,25,C,23,1.588,No,2.007,No,15.092,No
Control,25,C,18,1.504,No,2.007,No,0,No
Test,25,D,0,0,No,0,No,0,No
Control,25,E,23,2.702,No,2.612,No,0,No
Control,25,B,42,5.406,No,5.043,No,0,No
Control,25,B,0,0,No,0,No,0,No
Control,25,A,18,1.265,No,1.867,No,0,No
Test,25,B,46,6.131,No,6.012,No,26.161,No
Control,25,A,93,8.999,No,12.662,No,0,No
Test,25,A,72,8.948,No,8.568,No,27.833,No
Test,25,D,42,4.804,No,4.563,No,21.024,No
Control,25,E,42,4.972,No,5.457,No,0,No
Control,25,D,42,5.157,No,5.93,No,0,No
Test,25,B,72,9.816,No,9.326,No,36.35,max
