Type,Temp,Plate ID,Hour,neg_distance,neg_edge,pos_distance,pos_edge
Test,25,E,72,5.199,No,3.332,No
Control,25,B,66,11.604,No,11.787,No
Control,25,C,48,8.164,No,10.644,No
Test,25,D,69,9.824,No,6.702,No
Control,25,C,72,10.64,No,13.232,No
Control,25,D,90,0,No,0,No
Test,25,C,0,0,No,0,No
Test,25,C,42,5.221,No,8.61,No
Control,25,D,21,0,No,0,No
Test,25,A(contaminated),42,7.386,No,5.092,No
Control,25,D,93,0,No,0,No
Test,25,B,48,4.725,No,4.604,No
Control,25,E,48,7.813,No,10.791,No
Test,25,D,0,0,No,0,No
Test,25,D,93,10.993,No,8.976,No
Test,25,C,24,4.149,No,8.025,No
Test,25,A(visual),45,4.821,No,6.597,No
Test,25,A(visual),72,6.732,No,6.973,No
Test,25,A(visual),93,9.257,No,11.163,No
Test,25,A(visual),24,2.353,No,2.476,No
Test,25,A(visual),0,0,No,0,No
Test,25,A(visual),21,2.043,No,2.229,No
Test,25,A(visual),48,4.899,No,6.702,No
Test,25,A(visual),90,8.894,No,10.71,No
Test,25,A(visual),69,6.732,No,6.973,No
Test,25,A(visual),18,1.574,No,1.852,No
Test,25,A(visual),42,3.844,No,6.169,No
Test,25,A(visual),66,6.732,No,6.973,No
Control,25,C,45,8.164,No,10.644,No
Test,25,C,18,2.158,No,6.662,No
Control,25,B,93,13.931,No,13.147,No
Test,25,E,48,4.297,No,2.366,No
Control,25,A,42,8.158,No,8.905,No
Control,25,E,45,7.813,No,10.791,No
Test,25,D,90,10.981,No,8.954,No
Control,25,D,48,0,No,0,No
Test,25,E,45,4.297,No,2.366,No
Test,25,B,72,7.623,No,5.797,No
Test,25,A(contaminated),0,0,No,0,No
Test,25,B,45,4.508,No,4.573,No
Test,25,B,24,3.513,No,3.153,No
Test,25,B,66,7.303,No,5.199,No
Control,25,A,0,0,No,0,No
Control,25,A,90,17.683,max,13.187,max
Test,25,A(contaminated),21,0.782,No,0.736,No
Control,25,C,93,14.173,No,16,No
Test,25,D,21,1.121,No,1.521,No
Control,25,B,45,11.342,No,11.75,No
Control,25,A,24,4.639,No,3.537,No
Control,25,C,90,14.173,No,15.971,No
Control,25,E,0,0,No,0,No
Control,25,B,42,11.342,No,11.75,No
Control,25,D,45,0,No,0,No
Test,25,D,72,9.824,No,6.702,No
Control,25,E,93,11.145,No,13.447,No
Test,25,C,90,6.964,No,11.203,No
Control,25,A,48,8.158,No,8.905,No
Test,25,A(contaminated),69,15.417,No,8.884,No
Control,25,D,18,0,No,0,No
Test,25,D,42,4.956,No,3.808,No
Control,25,D,42,0,No,0,No
Control,25,B,24,0,No,0,No
Test,25,C,66,6.251,No,10.632,No
Control,25,A,21,3.613,No,3.009,No
Control,25,C,0,0,No,0,No
Control,25,C,21,1.469,No,1.622,No
Control,25,C,66,9.408,No,12.634,No
Test,25,C,21,4.019,No,7.07,No
Control,25,D,24,0,No,0,No
Test,25,E,66,4.386,No,2.904,No
Control,25,D,66,0,No,0,No
Control,25,B,18,0,No,0,No
Test,25,C,45,5.95,No,9.264,No
Test,25,C,69,6.353,No,10.896,No
Test,25,B,90,10.367,No,8.063,No
Control,25,C,69,10.561,No,12.669,No
Control,25,E,21,2.451,No,2.821,No
Control,25,D,72,0,No,0,No
Control,25,E,69,9.47,No,13.137,No
Test,25,E,0,0,No,0,No
Test,25,E,93,5.379,No,3.989,No
Test,25,E,21,0.292,No,0,No
Test,25,D,24,1.264,No,1.542,No
Control,25,D,69,0,No,0,No
Test,25,C,93,6.964,No,11.203,No
Test,25,E,69,4.386,No,2.904,No
Control,25,A,45,8.158,No,8.905,No
Test,25,C,72,6.449,No,11.042,No
Control,25,B,21,0,No,0,No
Control,25,A,72,14.997,No,12.287,No
Test,25,E,90,5.274,No,3.456,No
Test,25,B,69,7.303,No,5.199,No
Test,25,B,18,2.704,No,2.028,No
Control,25,A,18,2.672,No,2.687,No
Test,25,C,48,5.95,No,9.264,No
Control,25,C,24,1.493,No,1.73,No
Control,25,A,69,14.997,No,12.287,No
Control,25,C,18,0,No,0,No
Test,25,A(contaminated),18,0,No,0,No
Test,25,A(contaminated),93,15.417,max,9.048,No
Control,25,E,90,10.873,No,13.418,No
Control,25,E,66,9.159,No,12.71,No
Test,25,A(contaminated),45,9.907,No,7.84,No
Control,25,E,72,10.076,No,13.354,No
Control,25,E,24,3.547,No,3.088,No
Test,25,E,42,4.297,No,2.366,No
Control,25,B,48,11.342,No,11.75,No
Control,25,B,0,0,No,0,No
Test,25,E,18,0,No,0,No
Test,25,D,45,4.956,No,3.808,No
Control,25,A,66,14.997,No,12.287,No
Test,25,B,21,3.045,No,2.512,No
Control,25,D,0,0,No,0,No
Test,25,B,93,10.648,No,8.601,No
Test,25,A(contaminated),72,15.417,max,8.964,No
Test,25,D,18,0,No,0,No
Test,25,A(contaminated),90,15.417,max,8.971,No
Test,25,A(contaminated),66,15.417,max,8.477,No
Test,25,A(contaminated),48,10.894,No,7.881,No
Test,25,B,42,4.418,No,4.568,No
Test,25,A(contaminated),24,1.814,No,1.535,No
Control,25,B,90,12.252,No,12.434,No
Test,25,E,24,0.292,No,0,No
Control,25,B,72,11.604,No,11.787,No
Control,25,C,42,8.164,No,10.644,No
Control,25,B,69,11.604,No,11.787,No
Control,25,A,93,17.683,max,13.187,max
Test,25,D,48,4.956,No,3.808,No
Test,25,D,66,8.997,No,6.292,No
Control,25,E,42,7.813,No,10.791,No
Test,25,B,0,0,No,0,No
Control,25,E,18,2.217,No,1.694,No
